aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
360.14677664468076,1769.7270484992189,2065.0011375853146,3794.5168472272894,Pass,208,sample_data/subj02_timepoint01.mp4
357.7445699867121,1742.7368345887076,2070.8425397682545,3753.858453698492,Pass,209,sample_data/subj02_timepoint01.mp4
356.3959961996315,1702.7107944930453,2074.423695645657,3703.365520249369,Pass,210,sample_data/subj02_timepoint01.mp4
356.82934040845475,1655.9460410073,2076.768874089015,3652.68478118013,Pass,211,sample_data/subj02_timepoint01.mp4
360.3523599645142,1613.3396222927586,2078.5439025071214,3612.599960479886,Pass,212,sample_data/subj02_timepoint01.mp4
368.2132841858536,1583.6815682536583,2080.2284133941143,3587.7468115434244,Pass,213,sample_data/subj02_timepoint01.mp4
380.91868670977453,1569.7743017621297,2082.1401344067353,3577.0593403998105,Pass,214,sample_data/subj02_timepoint01.mp4
398.02347134287027,1569.4714771104973,2084.420277381614,3577.0923907933775,Pass,215,sample_data/subj02_timepoint01.mp4
418.4631619623313,1578.166355687276,2086.990472149763,3584.181472943639,Pass,216,sample_data/subj02_timepoint01.mp4
440.99878000853107,1590.3220428799816,2089.4968606871844,3595.359105090441,Pass,217,sample_data/subj02_timepoint01.mp4
464.46674685273234,1600.2828431440555,2091.3432247124824,3608.6802060287255,Pass,218,sample_data/subj02_timepoint01.mp4
487.76524183778383,1602.9820991447286,2091.9591490120183,3623.2294443178753,Pass,219,sample_data/subj02_timepoint01.mp4
509.5839098717392,1594.6439718838,2091.281633043047,3638.860895514319,Pass,220,sample_data/subj02_timepoint01.mp4
527.9988206495922,1573.9301458375785,2090.011398863281,3655.7085662925183,Pass,221,sample_data/subj02_timepoint01.mp4
540.3677909189133,1543.9594920510926,2089.1632194806675,3673.6275448910174,Pass,222,sample_data/subj02_timepoint01.mp4
544.3441481484809,1512.9771518045925,2089.2950789965407,3691.9306809374184,Pass,223,sample_data/subj02_timepoint01.mp4
540.056982284614,1490.1660288274172,2090.2775129517477,3709.686145325057,Pass,224,sample_data/subj02_timepoint01.mp4
530.843573080047,1479.6539717281516,2091.668226955997,3726.2084826710493,Pass,225,sample_data/subj02_timepoint01.mp4
520.698350860537,1479.7796629648471,2093.122814908644,3741.2182599112507,Pass,226,sample_data/subj02_timepoint01.mp4
511.63965191081473,1486.5527883378898,2094.500381355237,3754.75149467128,Pass,227,sample_data/subj02_timepoint01.mp4
